Magnetyzacja Temperatura
-138.591 192.483
-134.993 -127.194
-124.326 67.8396
-92.8651 -542.387
-89.017 116.772
-88.959 35.4532
-87.5924 116.46
-86.6973 157.573
-85.6364 -1143.82
-84.6893 73.9538
-78.8152 -353.87
-73.7123 66.7609
-65.8142 146.475
-59.1049 45.2682
-55.7063 -171.377
-55.2767 101.903
-46.024 5625.44
-43.6204 -193.56
-42.5714 3072.74
-39.007 170.329
-29.6064 171.218
-28.6454 -307.458
-27.6344 248.849
-26.6513 56.7984
-26.1678 -473.502
-22.3836 34.262
-19.974 88.1667
-17.2547 -470.753
-14.7153 44.9031
-12.6254 217.958
-12.048 -333.3
-9.91409 90.0857
-8.06394 284.895
-2.13387 -172.531
-2.04795 44.9351
-0.995005 216.898
-0.913087 46.0572
-0.835165 58.0509
9.3027 -164.545
9.57243 553.896
17.8362 88.1223
17.976 307.914
20.1359 -275.867
21.8162 130.971
22.2318 24.6715
22.5475 114.829
22.8731 262.622
25.9001 -697.551
27.1748 556.898
31.8442 -108.552
34.024 378.908
35.7722 -137.569
40.4995 -753.559
41.0869 -1517.51
42.0859 -782.495
44.9271 139.248
45.1688 125.908
45.4825 152.569
47.2707 61.0193
52.2877 58.5972
52.6753 -215.52
56.2278 189.139
57.972 -412.994
62.3257 94.0776
63.9101 532.617
63.9201 272.84
64.9151 49.3941
65.2488 56.4753
66.3596 30.6969
69.2008 90.3602
72.0879 -235.377
74.1978 -469.356
74.2198 -120.45
74.3616 -183.952
75.3606 195.011
75.3706 46.2169
75.5684 -223.611
77.5864 -136.2
77.99 -173.294
82.0859 161.046
82.4016 2438.78
82.4555 67.5134
84.6873 58.1019
85.013 95.1366
85.5524 964.373
87.2567 42.2054
87.3566 -150.864
87.5544 57.5815
88.971 92.2706
89.4326 386.7
89.6104 -548.248
93.0689 59.4773
95.3566 85.1938
96.8372 -2458.07
98.5734 349.397
98.985 59.8725
100.571 333.779
101.962 5499.66
102.635 271.062
103.177 34.1635
103.518 -131.824
103.634 63.8478
104.587 597.632
107.317 -101.766
109.007 50.4805
111.592 203.06
112.991 943.215
113.031 89.4525
113.231 -168.02
114.038 128.684
116.743 97.4689
120.711 -148.428
121.566 -3623.25
121.566 -3623.25
122.541 9445.64
123.808 -574.312
124.256 -188.248
126.817 166.924
127.698 -745.508
128.404 93.0559
129.213 1954.36
130.921 246.705
131.093 -322.5
131.453 119.123
131.968 235.805
140.569 1399.54
140.943 206.09
141.053 -2447.36
141.057 41.4965
141.93 437.99
142.857 -153.354
143.311 40.9259
144.018 36.2299
144.398 413.341
146.519 53.7691
147.409 -395.411
150.3 24.5803
151.379 540.225
153.087 -97.1389
153.512 111.295
158.052 153.503
159.66 356.128
161.111 51.4881
162.821 41.0357
163.219 50.22
163.307 157.233
164.236 45.5599
168.571 58.1169
172.174 -352.031
172.673 -679.566
173.435 -112.402
174.813 -401.823
177.083 -302.526
179.229 42.2144
181.179 87.0661
183.678 175.877
185.672 81.3919
186.609 59.8971
187.642 75.3802
194.002 128.81
198.899 32.9432
201.123 123.075
201.487 65.5651
201.606 204.677
202.699 206.19
204.807 86.8361
208.737 4579.02
209.161 56.6947
214.517 -190.871
221.461 280.162
222.805 -54.5908
226.787 27.5723
233.91 69.3189
235.125 167.7
243.113 2911.45
245.726 -203.688
245.874 -261.6
247.017 125.439
248.314 -368.361
254.785 -57.597
261.179 -221.807
262.945 430.001
264.713 63.5608
268.356 104.867
268.511 125.334
271.942 85.4952
274.521 58.8014
287.788 612.288
292.42 835.541
293.295 86.4049
294.709 134.172
295.109 -136.496
305.832 33.8876
314.987 -188.619
317.892 -65.352
318.947 -594.408
326.394 89.9017
348.44 48.232
386.252 -114.526
392.773 -202.057
