99 4851
1 2 838
1 3 229
1 4 981
1 5 468
1 6 515
1 7 859
1 8 190
1 9 151
1 10 61
1 11 196
1 12 919
1 13 352
1 14 812
1 15 623
1 16 1002
1 17 353
1 18 667
1 19 279
1 20 738
1 21 329
1 22 417
1 23 634
1 24 807
1 25 942
1 26 736
1 27 675
1 28 603
1 29 282
1 30 690
1 31 875
1 32 549
1 33 857
1 34 261
1 35 11
1 36 742
1 37 465
1 38 812
1 39 725
1 40 923
1 41 435
1 42 857
1 43 460
1 44 210
1 45 913
1 46 575
1 47 761
1 48 448
1 49 617
1 50 317
1 51 207
1 52 586
1 53 321
1 54 800
1 55 97
1 56 803
1 57 51
1 58 511
1 59 923
1 60 629
1 61 107
1 62 85
1 63 151
1 64 251
1 65 30
1 66 530
1 67 953
1 68 631
1 69 718
1 70 115
1 71 332
1 72 8
1 73 324
1 74 684
1 75 214
1 76 30
1 77 957
1 78 907
1 79 1001
1 80 321
1 81 695
1 82 695
1 83 812
1 84 494
1 85 869
1 86 1001
1 87 962
1 88 723
1 89 610
1 90 889
1 91 665
1 92 422
1 93 35
1 94 668
1 95 766
1 96 688
1 97 960
1 98 492
1 99 775
2 3 216
2 4 948
2 5 529
2 6 328
2 7 158
2 8 570
2 9 31
2 10 42
2 11 516
2 12 267
2 13 720
2 14 873
2 15 460
2 16 725
2 17 427
2 18 269
2 19 590
2 20 246
2 21 932
2 22 524
2 23 800
2 24 418
2 25 895
2 26 325
2 27 60
2 28 17
2 29 7
2 30 744
2 31 836
2 32 373
2 33 620
2 34 877
2 35 953
2 36 746
2 37 701
2 38 498
2 39 588
2 40 790
2 41 385
2 42 280
2 43 924
2 44 499
2 45 932
2 46 968
2 47 746
2 48 795
2 49 904
2 50 738
2 51 890
2 52 900
2 53 978
2 54 447
2 55 467
2 56 836
2 57 711
2 58 80
2 59 975
2 60 950
2 61 679
2 62 781
2 63 175
2 64 21
2 65 385
2 66 875
2 67 417
2 68 345
2 69 591
2 70 152
2 71 252
2 72 320
2 73 858
2 74 176
2 75 630
2 76 951
2 77 313
2 78 246
2 79 259
2 80 552
2 81 375
2 82 59
2 83 761
2 84 382
2 85 907
2 86 994
2 87 194
2 88 711
2 89 147
2 90 552
2 91 489
2 92 834
2 93 107
2 94 334
2 95 920
2 96 681
2 97 883
2 98 369
2 99 538
3 4 152
3 5 935
3 6 435
3 7 69
3 8 287
3 9 795
3 10 963
3 11 130
3 12 860
3 13 406
3 14 499
3 15 119
3 16 133
3 17 550
3 18 56
3 19 692
3 20 653
3 21 957
3 22 495
3 23 118
3 24 916
3 25 779
3 26 350
3 27 505
3 28 308
3 29 956
3 30 993
3 31 793
3 32 385
3 33 674
3 34 639
3 35 594
3 36 448
3 37 318
3 38 396
3 39 230
3 40 308
3 41 931
3 42 87
3 43 271
3 44 341
3 45 300
3 46 814
3 47 646
3 48 1002
3 49 72
3 50 1001
3 51 291
3 52 848
3 53 754
3 54 109
3 55 950
3 56 651
3 57 806
3 58 995
3 59 350
3 60 724
3 61 272
3 62 416
3 63 16
3 64 724
3 65 711
3 66 717
3 67 754
3 68 921
3 69 331
3 70 73
3 71 664
3 72 94
3 73 699
3 74 214
3 75 790
3 76 376
3 77 930
3 78 185
3 79 663
3 80 110
3 81 506
3 82 150
3 83 54
3 84 208
3 85 929
3 86 364
3 87 836
3 88 299
3 89 356
3 90 757
3 91 401
3 92 3
3 93 113
3 94 857
3 95 246
3 96 779
3 97 945
3 98 547
3 99 74
4 5 666
4 6 414
4 7 180
4 8 35
4 9 78
4 10 457
4 11 686
4 12 775
4 13 125
4 14 8
4 15 364
4 16 500
4 17 665
4 18 118
4 19 672
4 20 293
4 21 916
4 22 427
4 23 84
4 24 726
4 25 109
4 26 21
4 27 358
4 28 690
4 29 9
4 30 79
4 31 638
4 32 946
4 33 422
4 34 417
4 35 57
4 36 425
4 37 419
4 38 784
4 39 723
4 40 974
4 41 948
4 42 495
4 43 601
4 44 434
4 45 925
4 46 558
4 47 237
4 48 219
4 49 437
4 50 795
4 51 485
4 52 976
4 53 29
4 54 270
4 55 461
4 56 469
4 57 512
4 58 554
4 59 732
4 60 137
4 61 13
4 62 848
4 63 445
4 64 318
4 65 779
4 66 165
4 67 928
4 68 337
4 69 326
4 70 736
4 71 8
4 72 155
4 73 487
4 74 261
4 75 733
4 76 863
4 77 680
4 78 381
4 79 525
4 80 853
4 81 447
4 82 425
4 83 726
4 84 422
4 85 242
4 86 724
4 87 752
4 88 257
4 89 805
4 90 865
4 91 265
4 92 477
4 93 160
4 94 414
4 95 496
4 96 760
4 97 541
4 98 623
4 99 214
5 6 456
5 7 400
5 8 574
5 9 10
5 10 216
5 11 664
5 12 665
5 13 76
5 14 741
5 15 541
5 16 892
5 17 780
5 18 705
5 19 514
5 20 521
5 21 980
5 22 840
5 23 428
5 24 205
5 25 811
5 26 946
5 27 235
5 28 101
5 29 556
5 30 104
5 31 1002
5 32 544
5 33 910
5 34 177
5 35 882
5 36 687
5 37 493
5 38 783
5 39 604
5 40 986
5 41 233
5 42 534
5 43 310
5 44 549
5 45 605
5 46 637
5 47 228
5 48 748
5 49 850
5 50 585
5 51 939
5 52 826
5 53 509
5 54 790
5 55 99
5 56 600
5 57 559
5 58 199
5 59 611
5 60 259
5 61 188
5 62 760
5 63 730
5 64 87
5 65 871
5 66 513
5 67 3
5 68 643
5 69 787
5 70 902
5 71 231
5 72 365
5 73 780
5 74 989
5 75 210
5 76 144
5 77 975
5 78 704
5 79 407
5 80 451
5 81 256
5 82 731
5 83 589
5 84 708
5 85 331
5 86 184
5 87 406
5 88 877
5 89 517
5 90 345
5 91 997
5 92 109
5 93 659
5 94 542
5 95 944
5 96 666
5 97 859
5 98 912
5 99 895
6 7 477
6 8 338
6 9 589
6 10 292
6 11 487
6 12 357
6 13 197
6 14 707
6 15 147
6 16 828
6 17 283
6 18 380
6 19 283
6 20 508
6 21 961
6 22 814
6 23 1000
6 24 677
6 25 821
6 26 142
6 27 316
6 28 571
6 29 520
6 30 16
6 31 506
6 32 216
6 33 202
6 34 653
6 35 985
6 36 258
6 37 486
6 38 575
6 39 869
6 40 832
6 41 435
6 42 897
6 43 670
6 44 195
6 45 509
6 46 634
6 47 181
6 48 483
6 49 1001
6 50 323
6 51 372
6 52 792
6 53 521
6 54 526
6 55 461
6 56 690
6 57 623
6 58 506
6 59 510
6 60 907
6 61 596
6 62 245
6 63 307
6 64 323
6 65 843
6 66 737
6 67 60
6 68 212
6 69 154
6 70 314
6 71 657
6 72 175
6 73 153
6 74 334
6 75 244
6 76 966
6 77 551
6 78 918
6 79 262
6 80 12
6 81 673
6 82 589
6 83 84
6 84 282
6 85 163
6 86 126
6 87 11
6 88 36
6 89 860
6 90 875
6 91 826
6 92 771
6 93 645
6 94 355
6 95 759
6 96 356
6 97 387
6 98 19
6 99 684
7 8 537
7 9 37
7 10 177
7 11 843
7 12 254
7 13 344
7 14 765
7 15 384
7 16 566
7 17 145
7 18 672
7 19 406
7 20 167
7 21 162
7 22 169
7 23 405
7 24 828
7 25 377
7 26 574
7 27 35
7 28 290
7 29 693
7 30 728
7 31 480
7 32 317
7 33 11
7 34 507
7 35 806
7 36 211
7 37 712
7 38 660
7 39 960
7 40 41
7 41 991
7 42 715
7 43 890
7 44 869
7 45 189
7 46 523
7 47 42
7 48 564
7 49 156
7 50 336
7 51 486
7 52 452
7 53 757
7 54 464
7 55 326
7 56 573
7 57 921
7 58 85
7 59 307
7 60 780
7 61 98
7 62 954
7 63 697
7 64 992
7 65 541
7 66 884
7 67 88
7 68 464
7 69 747
7 70 995
7 71 73
7 72 204
7 73 376
7 74 809
7 75 959
7 76 804
7 77 531
7 78 586
7 79 19
7 80 54
7 81 880
7 82 373
7 83 837
7 84 748
7 85 330
7 86 514
7 87 688
7 88 492
7 89 525
7 90 132
7 91 302
7 92 514
7 93 243
7 94 385
7 95 779
7 96 307
7 97 52
7 98 463
7 99 870
8 9 139
8 10 308
8 11 305
8 12 981
8 13 802
8 14 824
8 15 827
8 16 833
8 17 827
8 18 561
8 19 802
8 20 890
8 21 501
8 22 652
8 23 736
8 24 492
8 25 989
8 26 873
8 27 230
8 28 106
8 29 163
8 30 419
8 31 978
8 32 185
8 33 716
8 34 111
8 35 420
8 36 345
8 37 912
8 38 864
8 39 708
8 40 647
8 41 245
8 42 330
8 43 438
8 44 958
8 45 676
8 46 166
8 47 160
8 48 760
8 49 154
8 50 822
8 51 195
8 52 8
8 53 202
8 54 778
8 55 704
8 56 641
8 57 792
8 58 33
8 59 237
8 60 740
8 61 225
8 62 36
8 63 680
8 64 518
8 65 594
8 66 575
8 67 172
8 68 784
8 69 518
8 70 33
8 71 642
8 72 76
8 73 4
8 74 871
8 75 953
8 76 588
8 77 32
8 78 972
8 79 992
8 80 916
8 81 449
8 82 979
8 83 196
8 84 339
8 85 283
8 86 64
8 87 278
8 88 638
8 89 686
8 90 508
8 91 262
8 92 599
8 93 454
8 94 383
8 95 14
8 96 92
8 97 36
8 98 859
8 99 392
9 10 570
9 11 901
9 12 119
9 13 313
9 14 739
9 15 322
9 16 337
9 17 514
9 18 998
9 19 912
9 20 848
9 21 997
9 22 638
9 23 824
9 24 352
9 25 877
9 26 861
9 27 705
9 28 591
9 29 481
9 30 67
9 31 717
9 32 416
9 33 674
9 34 697
9 35 154
9 36 902
9 37 83
9 38 323
9 39 914
9 40 307
9 41 473
9 42 486
9 43 437
9 44 649
