99 4851
1 2 20
1 3 11
1 4 29
1 5 8
1 6 38
1 7 34
1 8 51
1 9 55
1 10 25
1 11 18
1 12 45
1 13 37
1 14 27
1 15 44
1 16 40
1 17 37
1 18 14
1 19 45
1 20 43
1 21 54
1 22 43
1 23 43
1 24 11
1 25 17
1 26 21
1 27 48
1 28 24
1 29 22
1 30 13
1 31 9
1 32 35
1 33 55
1 34 8
1 35 9
1 36 46
1 37 56
1 38 48
1 39 39
1 40 22
1 41 9
1 42 11
1 43 53
1 44 45
1 45 14
1 46 38
1 47 49
1 48 12
1 49 31
1 50 30
1 51 18
1 52 24
1 53 39
1 54 33
1 55 33
1 56 49
1 57 49
1 58 56
1 59 13
1 60 11
1 61 10
1 62 15
1 63 36
1 64 48
1 65 14
1 66 45
1 67 12
1 68 35
1 69 28
1 70 52
1 71 19
1 72 49
1 73 28
1 74 22
1 75 41
1 76 49
1 77 40
1 78 48
1 79 21
1 80 52
1 81 22
1 82 53
1 83 48
1 84 13
1 85 49
1 86 9
1 87 20
1 88 18
1 89 13
1 90 49
1 91 23
1 92 22
1 93 48
1 94 39
1 95 41
1 96 29
1 97 35
1 98 45
1 99 32
2 3 16
2 4 55
2 5 42
2 6 10
2 7 7
2 8 35
2 9 29
2 10 17
2 11 19
2 12 55
2 13 8
2 14 40
2 15 24
2 16 22
2 17 8
2 18 29
2 19 38
2 20 26
2 21 32
2 22 14
2 23 12
2 24 31
2 25 51
2 26 10
2 27 43
2 28 38
2 29 40
2 30 9
2 31 8
2 32 12
2 33 30
2 34 28
2 35 7
2 36 8
2 37 51
2 38 54
2 39 25
2 40 56
2 41 50
2 42 56
2 43 15
2 44 39
2 45 36
2 46 32
2 47 29
2 48 28
2 49 50
2 50 51
2 51 44
2 52 17
2 53 23
2 54 45
2 55 26
2 56 13
2 57 11
2 58 30
2 59 26
2 60 20
2 61 39
2 62 20
2 63 50
2 64 27
2 65 16
2 66 35
2 67 10
2 68 27
2 69 19
2 70 39
2 71 13
2 72 35
2 73 7
2 74 16
2 75 13
2 76 26
2 77 14
2 78 17
2 79 10
2 80 39
2 81 35
2 82 29
2 83 21
2 84 38
2 85 41
2 86 8
2 87 34
2 88 25
2 89 11
2 90 54
2 91 21
2 92 17
2 93 7
2 94 35
2 95 19
2 96 32
2 97 52
2 98 18
2 99 39
3 4 54
3 5 11
3 6 15
3 7 14
3 8 55
3 9 50
3 10 44
3 11 19
3 12 49
3 13 11
3 14 28
3 15 17
3 16 25
3 17 45
3 18 8
3 19 42
3 20 24
3 21 38
3 22 7
3 23 13
3 24 30
3 25 10
3 26 47
3 27 26
3 28 43
3 29 31
3 30 42
3 31 44
3 32 33
3 33 35
3 34 35
3 35 29
3 36 50
3 37 30
3 38 27
3 39 18
3 40 48
3 41 47
3 42 20
3 43 41
3 44 29
3 45 39
3 46 8
3 47 11
3 48 10
3 49 37
3 50 44
3 51 17
3 52 33
3 53 55
3 54 44
3 55 54
3 56 49
3 57 11
3 58 32
3 59 55
3 60 10
3 61 26
3 62 38
3 63 19
3 64 36
3 65 16
3 66 22
3 67 42
3 68 49
3 69 21
3 70 48
3 71 15
3 72 22
3 73 45
3 74 34
3 75 17
3 76 41
3 77 13
3 78 10
3 79 18
3 80 54
3 81 41
3 82 22
3 83 33
